AQI,PM 1 - ug/m³,PM 2.5 - ug/m³,PM 10 - ug/m³,Temp - °C,Hum - %,Dew Point - °C,Wet Bulb - °C,Heat Index - °C
10,4,6,12,27,93,26,26,32
11,4,6,12,27,92,26,26,32
10,4,6,11,27,92,26,26,32
11,4,6,13,27,93,26,26,32
11,4,7,14,27,93,26,26,32
11,4,7,13,27,93,26,26,31
12,4,7,13,27,95,26,26,31
11,4,6,14,27,96,26,26,31
10,4,6,12,27,91,25,25,31
9,3,5,11,27,91,25,26,31
8,3,5,9,27,92,25,26,31
8,3,5,10,27,92,25,26,31
8,3,5,10,27,92,25,26,31
8,4,5,11,27,92,25,26,31
10,4,6,12,27,92,26,26,31
9,4,6,12,27,92,26,26,31
10,4,6,12,27,94,26,26,32
10,4,6,12,27,94,26,26,31
11,4,7,14,27,92,25,26,31
11,4,7,14,27,93,26,26,32
11,4,7,13,27,93,26,26,32
11,4,7,14,27,92,26,26,32
12,4,7,14,27,94,26,26,32
10,4,6,12,27,91,25,25,30
6,3,4,8,26,95,25,25,29
8,3,5,9,26,94,25,25,30
9,4,5,9,26,93,25,25,30
9,4,6,11,26,93,25,25,30
10,4,6,11,26,92,25,25,30
10,4,6,10,26,91,25,25,30
10,4,6,12,26,91,25,25,30
12,5,7,12,27,92,26,26,32
12,5,7,13,27,92,26,26,33
12,5,7,13,27,92,26,26,33
13,5,8,14,27,92,26,26,32
14,5,8,15,27,92,26,26,32
10,4,6,10,27,91,26,26,32
10,4,6,10,27,91,26,26,33
13,5,8,13,27,92,26,26,33
12,5,7,14,28,91,26,26,33
11,4,7,12,27,88,25,26,32
10,4,6,11,27,90,25,25,30
10,4,6,11,27,90,25,25,31
19,8,11,17,27,90,25,26,31
13,5,8,13,27,91,26,26,32
15,6,9,14,28,90,26,26,33
16,6,10,17,28,91,26,27,34
16,6,10,17,28,89,26,27,35
14,5,8,16,28,89,26,27,35
13,5,8,14,29,88,27,27,36
14,6,8,16,29,87,27,27,37
15,5,9,16,29,85,26,27,37
12,5,7,14,29,85,27,27,37
12,5,7,15,29,84,27,27,38
13,5,8,14,29,83,26,27,37
11,4,6,13,30,83,26,27,37
10,4,6,12,30,83,27,28,39
10,4,6,11,30,83,27,27,38
11,4,6,12,30,83,26,27,38
12,4,7,14,30,83,26,27,37
11,4,7,13,30,83,26,27,37
12,5,7,13,29,85,26,27,36
11,4,7,13,29,86,26,27,35
12,4,7,14,28,89,26,27,35
11,4,7,14,28,89,27,27,36
10,4,6,12,28,88,26,26,34
12,5,7,14,28,91,26,26,33
12,5,7,14,27,93,26,27,33
13,5,8,15,28,89,26,26,32
11,4,7,13,27,91,26,26,33
11,5,7,14,28,90,26,26,34
13,5,8,15,28,89,25,26,32
12,5,7,12,27,90,25,26,32
22,9,13,19,27,90,25,26,32
39,15,24,32,27,91,26,26,32
